date,amount,description,category,subcategory,payment_method,location,tags
2024-01-15,-12.5,Albert Heijn groceries,Food,Groceries,Card,Amsterdam,weekly_shopping
2024-01-15,-3.2,Coffee Company,Food,Coffee,Card,Amsterdam,
2024-01-16,-45.0,Restaurant De Kas,Food,Dining_Out,Card,Amsterdam,date_night
2024-01-16,-2.9,GVB dagkaart,Transport,Public_Transport,Card,Amsterdam,
2024-01-17,-89.99,Netflix subscription,Entertainment,Streaming,Card,,monthly_subscription
2024-01-17,-15.75,Etos personal care,Health,Personal_Care,Card,Amsterdam,
2024-01-18,-67.5,Shell tankstation,Transport,Fuel,Card,A1,
2024-01-18,-8.9,Lunch at work,Food,Lunch,Card,Office,
2024-01-19,2500.0,Salary deposit,Income,Salary,Bank_Transfer,,monthly_income
2024-01-19,-950.0,Rent payment,Housing,Rent,Bank_Transfer,,monthly_fixed
2024-01-20,-125.0,Ziggo internet,Utilities,Internet,Bank_Transfer,,monthly_fixed
2024-01-20,-23.45,Jumbo groceries,Food,Groceries,Card,Amsterdam,weekend_shopping
2024-01-21,-15.0,Cinema ticket,Entertainment,Movies,Card,Amsterdam,weekend_fun
2024-01-22,-4.5,Coffee at cafe,Food,Coffee,Card,Amsterdam,
2024-01-22,-78.9,Bol.com books,Education,Books,Card,,self_development
2025-06-08,-230.61,Mortgage Payment,Housing,Mortgage,Card,Utrecht,bonus
2024-06-19,-189.52,VondelGym,Health,Gym,Bank_Transfer,Groningen,
2025-03-17,-127.66,Restaurant De Kas,Food,Dining_Out,Card,Groningen,monthly_subscription
2024-04-29,-264.3,Lidl,Food,Groceries,Card,Den Haag,subscription
2024-06-15,-218.78,Restaurant De Kas,Food,Dining_Out,Card,Amsterdam,
2025-03-10,-241.3,Kruidvat,Health,Personal_Care,Card,Eindhoven,
2024-02-01,-228.04,Rent Payment,Housing,Rent,Bank_Transfer,Den Haag,
2024-03-06,-64.8,Mortgage Payment,Housing,Mortgage,Cash,Den Haag,weekly_shopping
2024-01-14,-246.32,Mortgage Payment,Housing,Mortgage,Bank_Transfer,Eindhoven,travel
2024-04-15,-274.55,Vodafone,Utilities,Phone,Card,Amsterdam,
2024-12-27,-299.6,Mortgage Payment,Housing,Mortgage,Direct_Debit,Eindhoven,date_night
2025-01-05,-88.83,Dirk,Food,Groceries,Bank_Transfer,Groningen,
2025-03-17,-116.94,Swapfiets,Transport,Bike_Rental,Card,Utrecht,monthly_subscription
2024-06-25,-166.83,Huisarts,Health,Doctor,Card,Groningen,monthly_fixed
2024-10-06,-287.51,Greenchoice,Utilities,Electricity,Card,Den Haag,subscription
2025-06-11,3196.86,Monthly Salary,Income,Salary,Direct_Debit,Groningen,weekend_fun
2024-09-08,-101.22,Huisarts,Health,Doctor,Bank_Transfer,Den Haag,
2024-04-09,-73.2,Steam,Entertainment,Games,Cash,Utrecht,weekly_shopping
2025-04-14,-272.32,Huisarts,Health,Doctor,Cash,Rotterdam,daily_coffee
2024-05-30,2996.15,Tax Refund,Income,Refund,Card,Utrecht,impulse_buy
2024-08-04,-246.09,Mortgage Payment,Housing,Mortgage,Direct_Debit,Utrecht,
2025-02-22,-68.98,Mortgage Payment,Housing,Mortgage,Cash,Groningen,
2025-01-13,4393.08,Dividends,Income,Investment_Income,Card,Groningen,
2025-05-15,-73.65,Jumbo,Food,Groceries,Bank_Transfer,Groningen,self_development
2024-08-15,-198.47,Rent Payment,Housing,Rent,Bank_Transfer,Rotterdam,
2024-07-04,-146.57,University Fees,Education,Tuition,Direct_Debit,Groningen,bonus
2024-01-25,-228.23,Jumbo,Food,Groceries,Card,Groningen,weekend_shopping
2025-05-02,-234.51,Waternet,Utilities,Water,Cash,Rotterdam,gift
2025-04-18,-152.9,Texaco,Transport,Fuel,Cash,Utrecht,weekly_shopping
